Brand Name,Base Item,Price,Weight,Value,Store,File Name
Foodie,White Rice,20.49,14000,0.146357143,Save-On-Foods,foodie_white_rice.png
Yummy,White Rice,19.99,12000,0.166583333,Safeway,yummy_white_rice.png
Scrooge,White Rice,15,10000,0.15,Safeway,scrooge_white_rice.png
GroceryVille,Ketchup,4.17,1000,0.417,Save-On-Foods,groceryville_ketchup.png
SuperCool,Ketchup,10,2000,0.5,Save-On-Foods,supercool_ketchup.png
Foodie,Ketchup,5,1000,0.5,Superstore,foodie_ketchup.png
Foodie,Carrots,2.46,1000,0.246,Safeway,foodie_carrots.png
Tasteful,Carrots,4,2000,0.2,Costco,tasteful_carrots.png
Tasteful,Potatoes,10.33,4500,0.229555556,Save-On-Foods,tasteful_potatoes.png
Tasteful,Baked Beans,1.51,400,0.3775,Safeway,tasteful_baked_beans.png
Yummy,Baked Beans,4,800,0.5,Superstore,yummy_baked_beans.png
Foodie,Baked Beans,10,1500,0.666666667,Costco,foodie_baked_beans.png
Tasteful,Bread,3,675,0.444444444,Save-On-Foods,tasteful_bread.png
Scrooge,Bread,6,1200,0.5,Save-On-Foods,scrooge_bread.png
Tavern,Bread,4,800,0.5,Safeway,tavern_bread.png
GroceryVille,Bread,3,700,0.428571429,Walmart,groceryville_bread.png
Foodie,Bread,3,675,0.444444444,Costco,foodie_bread.png
Yummy,Bread,10,2000,0.5,Superstore,yummy_bread.png
Peculiar,Bread,20,5000,0.4,Save-On-Foods,peculiar_bread.png
Tavern,Corn Flakes,6.38,675,0.945185185,Costco,tavern_corn_flakes.png
Foodie,Corn Flakes,10,1000,1,Walmart,foodie_corn_flakes.png
Yummy,Corn Flakes,5,700,0.714285714,Superstore,yummy_corn_flakes.png
Scrooge,Corn Flakes,8,1200,0.666666667,Superstore,scrooge_corn_flakes.png
Tasteful,Corn Flakes,3,400,0.75,Walmart,tasteful_corn_flakes.png
Scrooge,Bacon,8.55,500,1.71,Save-On-Foods,scrooge_bacon.png
SuperCool,Bacon,12,1000,1.2,Costco,supercool_bacon.png
Tavern,Bacon,35,5000,0.7,Safeway,tavern_bacon.png
Foodie,Bacon,10,700,1.428571429,Save-On-Foods,foodie_bacon.png
Scrooge,Brown Rice,4.47,2000,0.2235,Save-On-Foods,scrooge_brown_rice.png
Foodie,Brown Rice,10,4000,0.25,Costco,foodie_brown_rice.png
Foodie,Basmati Rice,2.75,1000,0.275,Safeway,foodie_basmati_rice.png
Tavern,Basmati Rice,15,7000,0.214285714,Superstore,tavern_basmati_rice.png
Tavern,Jasmine Rice,30,15000,0.2,Costco,tavern_jasmine_rice.png
Foodie,Jasmine Rice,4,2000,0.2,Superstore,foodie_jasmine_rice.png
Tasteful,Jasmine Rice,2.12,1000,0.212,Safeway,tasteful_jasmine_rice.png
GroceryVille,Jasmine Rice,11,5000,0.22,Superstore,groceryville_jasmine_rice.png
SuperCool,Jasmine Rice,1,500,0.2,Save-On-Foods,supercool_jasmine_rice.png
Tasteful,Instant Rice,50,20000,0.25,Costco,tasteful_instant_rice.png
Foodie,Instant Rice,25,12000,0.208333333,Costco,foodie_instant_rice.png
Tavern,Instant Rice,6,250,2.4,Safeway,tavern_instant_rice.png
Yummy,Instant Rice,4,200,2,Costco,yummy_instant_rice.png
SuperCool,Instant Rice,12,1000,1.2,Walmart,supercool_instant_rice.png
Tavern,Bananas,1.63,1000,0.163,Safeway,tavern_bananas.png
SuperCool,Bananas,20,20000,0.1,Costco,supercool_bananas.png
Tavern,White Flour,4.65,2500,0.186,Walmart,tavern_white_flour.png
Scrooge,White Flour,30,30000,0.1,Costco,scrooge_white_flour.png
Tavern,Whole Wheat Flour,7,2500,0.28,Walmart,tavern_whole_wheat_flour.png
Yummy,White Rice,15.99,12000,0.13325,Save-On-Foods,yummy_white_rice.png
Yummy,White Rice,16.99,12000,0.14158333,Walmart,yummy_white_rice.png
Scrooge,White Rice,10.99,10000,0.1099,Walmart,scrooge_white_rice.png
